id,season,date,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_the_match,venue,umpire1,umpire2,umpire3
1,2015,1/30/2015,Perch,England,India,England,field,Normal,0,England,0,3,JWA Taylor,Western Australia Cricket Association Ground,M Erasmus ,JD Ward,
2,2016,1/26/2015,Sydney,Australia,India,Australia,field,Draw,0,,,,,Sydney Cricket Ground,M Erasmus,P Wilson,
3,2015,1/23/2015,Hobart,Australia,England,Australia,field,Normal,0,Australia,0,3,SPD Smith,Bellerive Oval,M Erasmus,SD Fry,
4,2015,1/20/2015,Brisbane,England,India,India,bat,Normal,0,England,0,9,ST Finn,"Brisbane Cricket Ground, Woolloongabba",HDPK Dharmasena,MD Martell,
5,2015,1/16/2015,Sydney,Australia,England,England,bat,Normal,0,Australia,0,3,MA Starc,Sydney Cricket Ground,HDPK Dharmasena,SD Fry,
6,2015,1/18/2015,Melbourne,Australia,India,India,bat,Normal,0,Australia,0,4,MA Starc,Melbourne Cricket Ground,HDPK Dharmasena,JD Ward,
7,2014,11/23/2014,Sydney,Australia,South Africa,South Africa,bat,D/L,1,Australia,0,2,Q de Kock,Sydney Cricket Ground,NJ Llong,MD Martell,
8,2014,11/21/2014,Melbourne,Australia,South Africa,South Africa,bat,Normal,0,Australia,0,3,SPD Smith,Melbourne Cricket Ground,BF Bowden,JD Ward,
9,2014,11/19/2014,Canberra,Australia,South Africa,Australia,bat,Normal,0,Australia,73,0,SPD Smith,Manuka Oval,SD Fry,NJ Llong,
10,2014,11/16/2014,Perth,Australia,South Africa,Australia,bat,Normal,0,South Africa,0,3,M Morkel,Western Australia Cricket Association Ground,BF Bowden,JD Ward,
11,2014,11/14/2014,Perth,Australia,South Africa,South Africa,field,Normal,0,Australia,32,0,NM Coulter-Nile,Western Australia Cricket Association Ground,SD Fry,NJ Llong,
12,2014,12/16/2014,Colombo,Sri Lanka,England,Sri Lanka,bat,Normal,0,Sri Lanka,98,0,TM Dilshan,R Premadasa Stadium,REJ Martinesz,RJ Tucker,
13,2014,12/13/2014,Kandy,Sri Lanka,England,Sri Lanka,bat,Normal,0,Sri Lanka,90,0,KC Sangakkara,Pallekele International Cricket Stadium,REJ Martinesz,BNJ Oxenford,
14,2014,12/10/2014,Kandy,Sri Lanka,England,England,field,Normal,0,England,0,5,JE Root,Pallekele International Cricket Stadium,RSA Palliyaguruge,RJ Tucker,
15,2014,12/7/2014,Colombo,Sri Lanka,England,England,bat,Normal,0,Sri Lanka,0,6,KC Sangakkara,R Premadasa Stadium,SJ Davis,REJ Martinesz,
16,2014,12/3/2014,Hambantota,Sri Lanka,England,Sri Lanka,bat,D/L,1,England,0,5,JC Buttler,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",SD Fry,RSA Palliyaguruge,
17,2014,                       24/29/14,Colombo,Sri Lanka,England,England,bat,Normal,0,Sri Lanka,0,8,DPMD Jayawardene,R Premadasa Stadium,SJ Davis,RR Wimalasiri,
18,2014,11/26/2014,Colombo,Sri Lanka,England,England,field,Normal,0,Sri Lanka,25,0,TM Dilshan,R Premadasa Stadium,SD Fry,RSA Palliyaguruge,
19,2015,2/3/2015,Napier,New Zealand,England,New Zealand,bat,Normal,0,New Zealand,119,0,KS Williamson,McLean Park,RJ Tucker,DJ Walker,
20,2015,1/31/2015,Wellington,New Zealand,Pakistan,New Zealand,field,Normal,0,New Zealand,0,7,GD Elliott,Westpac Stadium,CB Gaffaney,MA Gough,
21,2015,1/29/2015,Wellington,Sri Lanka,New Zealand,Sri Lanka,bat,Normal,0,Sri Lanka,34,0,KC Sangakkara,Westpac Stadium,CB Gaffaney,RJ Tucker,
22,2015,1/25/2015,Dunedin,Sri Lanka,New Zealand,New Zealand,bat,Normal,0,New Zealand,120,0,CJ Anderson,University Oval,MA Gough,DJ Walker,
23,2015,1/23/2015,Dunedin,Sri Lanka,New Zealand,Sri Lanka,field,Normal,0,New Zealand,108,0,L Ronchi,University Oval,CB Gaffaney,NJ Llong,
24,2015,1/20/2015,Nelson,Sri Lanka,New Zealand,Sri Lanka,bat,Normal,0,New Zealand,0,4,KS Williamson,Saxton Oval,IJ Gould,DJ Walker,
25,2015,1/17/2015,Auckland,Sri Lanka,New Zealand,Sri Lanka,field,Draw,0,,,,,Eden Park,BF Bowden,NJ Llong,
26,2015,1/15/2015,Hamilton,Sri Lanka,New Zealand,New Zealand,bat,Normal,0,Sri Lanka,0,6,TM Dilshan,Seddon Park,CB Gaffaney,IJ Gould,
27,2015,1/11/2015,Christchurch,Sri Lanka,New Zealand,Sri Lanka,bat,Normal,0,New Zealand,0,3,CJ Anderson,Hagley Oval,CB Gaffaney,NJ Llong,
28,2014,10/27/2014,Hamilton,New Zealand,South Africa,New Zealand,field,Draw,0,,,,,Seddon Park,CB Gaffaney,RJ Tucker,
29,2014,10/24/2014,Mount Maunganui,New Zealand,South Africa,New Zealand,field,Normal,0,South Africa,72,0,HM Amla,Bay Oval,SJ Davis,DJ Walker,
30,2014,10/21/2014,Mount Maunganui,New Zealand,South Africa,South Africa,field,Normal,0,South Africa,0,6,AB de Villiers,Bay Oval,CB Gaffaney,RJ Tucker,
31,2014,8/30/2014,Colombo,Sri Lanka,Pakistan,Pakistan,bat,D/L,1,Sri Lanka,0,7,NLTC Perera,Rangiri Dambulla International Stadium,RSA Palliyaguruge,S Ravi,
32,2014,8/26/2014,Hambantota,Sri Lanka,Pakistan,Sri Lanka,bat,Normal,0,Sri Lanka,77,0,NLTC Perera,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",SJ Davis,REJ Martinesz,
33,2014,8/23/2014,Hambantota,Sri Lanka,Pakistan,Pakistan,field,D/L,1,Pakistan,0,4,Sohaib Maqsood,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",RSA Palliyaguruge,S Ravi,
34,2014,6/19/2014,Mirpur,Bangladesh,India,India,bat,,0,,,,,Shere Bangla National Stadium,HDPK Dharmasena,Enamul Haque,
35,2014,6/17/2014,Mirpur,Bangladesh,India,Bangladesh,field,D/L,1,India,47,0,STR Binny,Shere Bangla National Stadium,HDPK Dharmasena,Sharfuddoula,
